NM_001005484.1	NP_001005484.1
NM_001100422.1	NP_001093892.1
NM_001100423.1	NP_001093893.1
NM_015535.2	NP_056350.2
XM_005246456.1	XP_005246513.1
XM_005246457.1	XP_005246514.1
XM_005246458.1	XP_005246515.1
NM_001282735.1	NP_001269664.1
XM_011510939.1	XP_011509241.1
XM_017003785.1	XP_016859274.1
XM_017003786.1	XP_016859275.1
XM_017003787.1	XP_016859276.1
NM_001100424.1	NP_001093894.1
XM_005246459.1	XP_005246516.1
NM_001282743.1	NP_001269672.1
NM_001321547.1	NP_001308476.1
NM_152387.3	NP_689600.2
NM_001321550.1	NP_001308479.1
NM_001321548.1	NP_001308477.1
XM_017003452.1	XP_016858941.1
XM_017003453.1	XP_016858942.1
XM_017003454.1	XP_016858943.1
XM_005246344.3	XP_005246401.2
NM_152524.5	NP_689737.4
XM_005246345.3	XP_005246402.1
XM_011510734.2	XP_011509036.1
NM_001160033.1	NP_001153505.1
NM_001160046.1	NP_001153518.1
XM_011511062.1	XP_011509364.1
XM_017003946.1	XP_016859435.1
NM_001159.3	NP_001150.3
XM_017003947.1	XP_016859436.1
NM_001207069.1	NP_001193998.1
NM_001207068.1	NP_001193997.1
NM_001321690.1	NP_001308619.1
NM_001321688.1	NP_001308617.1
NM_001207067.1	NP_001193996.1
NM_001321691.1	NP_001308620.1
NM_014670.3	NP_055485.2
NM_001321693.1	NP_001308622.1
XM_017005393.1	XP_016860882.1
NM_001321694.1	NP_001308623.1
NM_001162407.1	NP_001155879.1
NM_004071.3	NP_004062.2
XM_017004355.1	XP_016859844.1
XM_017004356.1	XP_016859845.1
NM_130906.2	NP_570981.1
XM_005246652.4	XP_005246709.1
XM_011511358.2	XP_011509660.1
XM_017004352.1	XP_016859841.1
XM_017004353.1	XP_016859842.1
XM_017004354.1	XP_016859843.1
NM_032472.3	NP_115861.1
XM_005246651.3	XP_005246708.1
XM_017004357.1	XP_016859846.1
XM_017004358.1	XP_016859847.1
XM_017004359.1	XP_016859848.1
XM_017004360.1	XP_016859849.1
XM_017004630.1	XP_016860119.1
NM_001136039.2	NP_001129511.1
XM_005246742.3	XP_005246799.1
XM_011511582.1	XP_011509884.1
XM_011511583.1	XP_011509885.1
XM_011511584.1	XP_011509886.1
NM_001142356.1	NP_001135828.1
NM_001142355.1	NP_001135827.1
NM_021824.3	NP_068596.2
XM_011511585.1	XP_011509887.1
NM_006190.4	NP_006181.1
XM_006712555.3	XP_006712618.1
XM_011511252.2	XP_011509554.1
XM_011511253.2	XP_011509555.1
NM_001321619.1	NP_001308548.1
NM_001321618.1	NP_001308547.1
NM_001321622.1	NP_001308551.1
NM_001321621.1	NP_001308550.1
XM_017003881.1	XP_016859370.1
NM_173822.4	NP_776183.1
NM_001321624.1	NP_001308553.1
NM_001321626.1	NP_001308555.1
NM_001321625.1	NP_001308554.1
NM_001321623.1	NP_001308552.1
XM_017003879.1	XP_016859368.1
XM_017003880.1	XP_016859369.1
XM_006712443.3	XP_006712506.1
XM_011511002.2	XP_011509304.1
NM_001321629.1	NP_001308558.1
XM_017003883.1	XP_016859372.1
NM_001321627.1	NP_001308556.1
NM_001321628.1	NP_001308557.1
XM_017003882.1	XP_016859371.1
XM_017004186.1	XP_016859675.1
NM_001257102.1	NP_001244031.1
NM_002491.2	NP_002482.1
XM_011511230.2	XP_011509532.1
XM_017005190.1	XP_016860679.1
XM_017005191.1	XP_016860680.1
NM_003879.5	NP_003870.4
NM_001127183.2	NP_001120655.1
NM_001202516.1	NP_001189445.1
XM_017005192.1	XP_016860681.1
XM_017005193.1	XP_016860682.1
XM_017005194.1	XP_016860683.1
NM_001308042.1	NP_001294971.1
XM_017005189.1	XP_016860678.1
XM_017005197.1	XP_016860686.1
XM_017005198.1	XP_016860687.1
NM_001127184.2	NP_001120656.1
NM_001308043.1	NP_001294972.1
XM_017005195.1	XP_016860684.1
NM_001202517.1	NP_001189446.1
NM_001202518.1	NP_001189447.1
NM_001202519.1	NP_001189448.1
XM_017005196.1	XP_016860685.1
NM_001202515.1	NP_001189444.1
NM_032974.4	NP_116756.2
NM_001206542.1	NP_001193471.1
NM_032977.3	NP_116759.2
NM_001206524.1	NP_001193453.1
XM_005246907.2	XP_005246964.1
NM_001230.4	NP_001221.2
NM_032976.3	NP_116758.1
XM_011511990.2	XP_011510292.1
NM_001306083.1	NP_001293012.1
XM_006712796.3	XP_006712859.1
NM_001080125.1	NP_001073594.1
XM_005246885.1	XP_005246942.1
XM_005246893.2	XP_005246950.1
XM_005246895.2	XP_005246952.1
NM_001228.4	NP_001219.2
NM_033355.3	NP_203519.1
XM_005246886.1	XP_005246943.1
XM_005246887.1	XP_005246944.1
XM_005246888.1	XP_005246945.1
XM_005246889.1	XP_005246946.1
XM_005246890.3	XP_005246947.1
XM_005246891.4	XP_005246948.1
XM_006712789.1	XP_006712852.1
XM_006712790.3	XP_006712853.1
NM_001080124.1	NP_001073593.1
NM_033356.3	NP_203520.1
XM_005246892.1	XP_005246949.1
NM_033358.3	NP_203522.1
XM_006712793.2	XP_006712856.1
XM_011511969.1	XP_011510271.1
XM_005246894.3	XP_005246951.1
NM_001127391.2	NP_001120863.1
NM_001289993.1	NP_001276922.1
XM_011510606.2	XP_011508908.1
NM_139163.3	NP_631902.2
XM_011510610.2	XP_011508912.1
XM_017003362.1	XP_016858851.1
XM_011510612.2	XP_011508914.1
XM_017003360.1	XP_016858849.1
XM_017003361.1	XP_016858850.1
NM_015049.2	NP_055864.2
XM_011511690.1	XP_011509992.1
XM_017004772.1	XP_016860261.1
NM_018571.5	NP_061041.2
NM_001206864.1	NP_001193793.1
XM_005246669.1	XP_005246726.1
XM_017004438.1	XP_016859927.1
NM_152525.5	NP_689738.3
NM_001168221.1	NP_001161693.1
XM_006712332.3	XP_006712395.1
XM_006712331.3	XP_006712394.1
XM_006712336.3	XP_006712399.1
XM_006712335.3	XP_006712398.1
NM_001168216.1	NP_001161688.1
XM_011510736.2	XP_011509038.1
XM_006712333.3	XP_006712396.1
XM_006712334.3	XP_006712397.1
NM_001168217.1	NP_001161689.1
NM_001044385.2	NP_001037850.1
NM_152388.3	NP_689601.2
XM_017004620.1	XP_016860109.1
NM_033066.2	NP_149055.1
XM_017004569.1	XP_016860058.1
NM_020919.3	NP_065970.2
XM_006712654.2	XP_006712717.1
XM_011511530.2	XP_011509832.1
XM_017004571.1	XP_016860060.1
XM_006712655.3	XP_006712718.1
XM_017004572.1	XP_016860061.1
XM_017004570.1	XP_016860059.1
NM_001135745.1	NP_001129217.1
XM_005246781.3	XP_005246838.1
NM_001261435.1	NP_001248364.1
XM_011511652.1	XP_011509954.1
NM_001261436.1	NP_001248365.1
XM_011511650.2	XP_011509952.1
XM_011511654.2	XP_011509956.1
NM_139158.2	NP_631897.1
XM_005246782.4	XP_005246839.1
XM_011511655.2	XP_011509957.1
XM_011511656.2	XP_011509958.1
XM_011511657.2	XP_011509959.1
NM_003507.1	NP_003498.1
XM_011510467.2	XP_011508769.1
XM_011510468.2	XP_011508770.1
XM_006712172.2	XP_006712235.1
NM_001277372.1	NP_001264301.1
XM_017003111.1	XP_016858600.1
XM_017003112.1	XP_016858601.1
NM_001005782.1	NP_001005782.1
NM_003352.4	NP_003343.1
NM_001005781.1	NP_001005781.1
NM_015934.4	NP_057018.1
NM_001204.6	NP_001195.2
XM_011511687.1	XP_011509989.1
NM_173511.3	NP_775782.2
NM_138468.5	NP_612477.3
NM_001288622.1	NP_001275551.1
NM_001288623.1	NP_001275552.1
NM_001288624.1	NP_001275553.1
NM_018256.3	NP_060726.3
XM_011511469.2	XP_011509771.1
NM_001322429.1	NP_001309358.1
XM_017004963.1	XP_016860452.1
NM_001282912.1	NP_001269841.1
NM_001322427.1	NP_001309356.1
NM_001322428.1	NP_001309357.1
XM_017004961.1	XP_016860450.1
NM_024744.15	NP_079020.13
NM_001104586.2	NP_001098056.1
XM_005246858.3	XP_005246915.1
XM_005246859.3	XP_005246916.1
XM_011511867.2	XP_011510169.1
NM_001282910.1	NP_001269839.1
NM_001282911.1	NP_001269840.1
XM_011511868.2	XP_011510170.1
XM_006712760.2	XP_006712823.1
XM_017004962.1	XP_016860451.1
XM_017004964.1	XP_016860453.1
XM_017004965.1	XP_016860454.1
XM_017004966.1	XP_016860455.1
XM_005246864.3	XP_005246921.1
XM_011511869.2	XP_011510171.1
NM_001322430.1	NP_001309359.1
XM_006712699.3	XP_006712762.1
NM_001114132.1	NP_001107604.1
XM_006712698.3	XP_006712761.1
XM_011511658.2	XP_011509960.1
XM_011511659.2	XP_011509961.1
XM_005246787.3	XP_005246844.1
XM_011511663.2	XP_011509965.1
XM_011511660.2	XP_011509962.1
XM_011511662.2	XP_011509964.1
XM_017004728.1	XP_016860217.1
XM_005246788.2	XP_005246845.1
XM_017004729.1	XP_016860218.1
NM_177538.2	NP_803882.1
XM_006712645.3	XP_006712708.1
XM_006712644.3	XP_006712707.1
XM_005246698.3	XP_005246755.1
XM_005246699.3	XP_005246756.1
XM_017004555.1	XP_016860044.1
XM_005246701.3	XP_005246758.1
XM_006712174.2	XP_006712237.1
XM_017003132.1	XP_016858621.1
XM_017003120.1	XP_016858609.1
XM_017003124.1	XP_016858613.1
XM_017003134.1	XP_016858623.1
XM_017003127.1	XP_016858616.1
XM_017003136.1	XP_016858625.1
XM_017003146.1	XP_016858635.1
XM_005246217.2	XP_005246274.1
XM_017003119.1	XP_016858608.1
NM_001282925.1	NP_001269854.1
XM_006712180.2	XP_006712243.1
XM_006712181.2	XP_006712244.1
XM_017003118.1	XP_016858607.1
XM_017003121.1	XP_016858610.1
XM_006712182.2	XP_006712245.1
XM_006712179.2	XP_006712242.1
XM_017003122.1	XP_016858611.1
XM_017003129.1	XP_016858618.1
XM_017003144.1	XP_016858633.1
XM_011510472.2	XP_011508774.1
XM_017003130.1	XP_016858619.1
XM_017003138.1	XP_016858627.1
XM_005246218.2	XP_005246275.1
NM_001282926.1	NP_001269855.1
NM_005759.5	NP_005750.4
XM_017003126.1	XP_016858615.1
XM_005246226.2	XP_005246283.1
XM_017003125.1	XP_016858614.1
XM_017003135.1	XP_016858624.1
XM_005246221.2	XP_005246278.1
XM_005246225.2	XP_005246282.1
XM_017003141.1	XP_016858630.1
XM_006712186.2	XP_006712249.1
XM_017003123.1	XP_016858612.1
XM_017003131.1	XP_016858620.1
XM_017003142.1	XP_016858631.1
XM_017003145.1	XP_016858634.1
XM_006712177.2	XP_006712240.1
XM_017003128.1	XP_016858617.1
XM_017003137.1	XP_016858626.1
XM_017003133.1	XP_016858622.1
XM_017003143.1	XP_016858632.1
XM_017003139.1	XP_016858628.1
NM_001282927.1	NP_001269856.1
XM_006712185.1	XP_006712248.1
XM_017003140.1	XP_016858629.1
NM_001282932.1	NP_001269861.1
XM_011510473.2	XP_011508775.1
NM_213589.2	NP_998754.1
XM_011511648.1	XP_011509950.1
XM_011511647.1	XP_011509949.1
XM_005246777.3	XP_005246834.1
XM_005246779.4	XP_005246836.1
XM_006712695.3	XP_006712758.1
XM_011511646.2	XP_011509948.1
NM_203365.3	NP_976241.1
XM_011511649.2	XP_011509951.1
XM_011512194.2	XP_011510496.1
XM_011512195.2	XP_011510497.1
NM_006139.3	NP_006130.1
XM_011512197.2	XP_011510499.1
NM_001243077.1	NP_001230006.1
NM_001243078.1	NP_001230007.1
NM_005214.4	NP_005205.2
NM_001037631.2	NP_001032720.1
NM_012092.3	NP_036224.1
NM_001302769.1	NP_001289698.1
NM_205863.3	NP_995585.2
NM_057177.6	NP_476518.4
NM_152526.5	NP_689739.4
XM_011510552.2	XP_011508854.1
XM_017003288.1	XP_016858777.1
XM_017003285.1	XP_016858774.1
XM_017003287.1	XP_016858776.1
XM_011510553.2	XP_011508855.1
XM_017003294.1	XP_016858783.1
XM_017003284.1	XP_016858773.1
XM_017003286.1	XP_016858775.1
XM_017003283.1	XP_016858772.1
XM_017003289.1	XP_016858778.1
XM_017003290.1	XP_016858779.1
XM_017003291.1	XP_016858780.1
XM_017003292.1	XP_016858781.1
XM_017003293.1	XP_016858782.1
NM_201266.1	NP_957718.1
XM_005246933.3	XP_005246990.2
XM_005246934.3	XP_005246991.2
XM_017005185.1	XP_016860674.1
NM_003872.2	NP_003863.2
NM_201279.1	NP_958436.1
XM_017005187.1	XP_016860676.1
XM_017005188.1	XP_016860677.1
NM_018534.3	NP_061004.3
XM_017005186.1	XP_016860675.1
NM_201267.1	NP_957719.1
NM_201264.1	NP_957716.1
XM_011511369.2	XP_011509671.1
NM_017759.4	NP_060229.3
XM_011511370.2	XP_011509672.1
XM_011511371.2	XP_011509673.1
XM_011511373.2	XP_011509675.1
XM_011511375.2	XP_011509677.1
XM_011511376.2	XP_011509678.1
NM_001199984.1	NP_001186913.1
NM_001199981.1	NP_001186910.1
NM_005006.6	NP_004997.4
NM_001199982.1	NP_001186911.1
NM_001199983.1	NP_001186912.1
XM_017004188.1	XP_016859677.1
NM_021121.3	NP_066944.1
NM_001959.3	NP_001950.1
NM_001037663.1	NP_001032752.1
XM_017003832.1	XP_016859321.1
NM_001098199.1	NP_001091669.1
NM_005279.3	NP_005270.2
NM_001261452.1	NP_001248381.1
NM_001261453.1	NP_001248382.1
NM_001261454.1	NP_001248383.1
NM_001261455.1	NP_001248384.1
XM_005246471.2	XP_005246528.1
NM_020923.2	NP_065974.1
XM_005246711.3	XP_005246768.1
XM_005246712.4	XP_005246769.1
XM_005246713.3	XP_005246770.1
XM_006712656.3	XP_006712719.1
XM_011511532.2	XP_011509834.1
XM_011511533.2	XP_011509835.1
XM_011511534.2	XP_011509836.1
XM_011511535.2	XP_011509837.1
XM_017004575.1	XP_016860064.1
XM_017004573.1	XP_016860062.1
XM_017004574.1	XP_016860063.1
NM_001285549.1	NP_001272478.1
XM_017004576.1	XP_016860065.1
XM_005246932.3	XP_005246989.1
XM_011512086.2	XP_011510388.1
NM_003812.3	NP_003803.1
NM_001102659.1	NP_001096129.1
NM_001093730.1	NP_001087199.1
XM_005246316.4	XP_005246373.1
NM_001282940.1	NP_001269869.1
NM_001039845.2	NP_001034934.1
XM_017003373.1	XP_016858862.1
XM_005246315.4	XP_005246372.1
XM_017003374.1	XP_016858863.1
XM_011510628.2	XP_011508930.1
NM_001136193.1	NP_001129665.1
NM_001136194.1	NP_001129666.1
NM_014929.3	NP_055744.2
XM_017003372.1	XP_016858861.1
NM_173077.2	NP_775100.1
NM_001270943.1	NP_001257872.1
XM_011512074.2	XP_011510376.1
XM_017005161.1	XP_016860650.1
NM_003709.3	NP_003700.1
XM_005246926.3	XP_005246983.1
XM_006712815.3	XP_006712878.1
XM_011512072.2	XP_011510374.1
XM_011512073.2	XP_011510375.1
NM_001270944.1	NP_001257873.1
XM_017005162.1	XP_016860651.1
XM_017005164.1	XP_016860653.1
NM_001270942.1	NP_001257871.1
XM_017005163.1	XP_016860652.1
XM_011512075.1	XP_011510377.1
NM_134442.4	NP_604391.1
XM_011510645.1	XP_011508947.1
NM_004379.4	NP_004370.1
XM_011510647.2	XP_011508949.1
XM_011510646.2	XP_011508948.1
XM_011510648.2	XP_011508950.1
XM_017003399.1	XP_016858888.1
NM_001320793.1	NP_001307722.1
XM_011510649.2	XP_011508951.1
XM_011510650.2	XP_011508952.1
XM_017003400.1	XP_016858889.1
XM_011510651.2	XP_011508953.1
XM_017003401.1	XP_016858890.1
XM_011510727.2	XP_011509029.1
XM_011510728.2	XP_011509030.1
XM_017003442.1	XP_016858931.1
XM_017003443.1	XP_016858932.1
NM_001308021.1	NP_001294950.1
XM_017003445.1	XP_016858934.1
XM_011510729.2	XP_011509031.1
XM_017003448.1	XP_016858937.1
XM_017003449.1	XP_016858938.1
XM_017003450.1	XP_016858939.1
XM_011510725.2	XP_011509027.1
XM_011510724.2	XP_011509026.1
NM_145280.5	NP_660323.3
NM_001127395.2	NP_001120867.1
XM_005246339.3	XP_005246396.1
XM_005246340.3	XP_005246397.1
XM_005246341.2	XP_005246398.1
XM_006712329.3	XP_006712392.1
XM_005246336.3	XP_005246393.1
XM_005246337.4	XP_005246394.1
XM_005246338.4	XP_005246395.1
XM_006712327.3	XP_006712390.1
XM_017003444.1	XP_016858933.1
XM_017003446.1	XP_016858935.1
XM_017003447.1	XP_016858936.1
XM_005246343.1	XP_005246400.1
NM_001142300.1	NP_001135772.1
NM_152523.2	NP_689736.1
NM_003468.3	NP_003459.2
XM_017004073.1	XP_016859562.1
NM_001080475.2	NP_001073944.1
XM_011511160.2	XP_011509462.1
XM_017004072.1	XP_016859561.1
XM_005246545.3	XP_005246602.1
XM_006712521.3	XP_006712584.1
XM_017004071.1	XP_016859560.1
XM_011511163.2	XP_011509465.1
NM_006891.3	NP_008822.2
NM_020989.3	NP_066269.1
XM_011510662.1	XP_011508964.1
NM_005210.3	NP_005201.2
XM_017003402.1	XP_016858891.1
NM_014617.3	NP_055432.2
XM_017004077.1	XP_016859566.1
XM_017004074.1	XP_016859563.1
XM_017004078.1	XP_016859567.1
XM_017004075.1	XP_016859564.1
XM_017004076.1	XP_016859565.1
NM_001099334.2	NP_001092804.1
NM_005896.3	NP_005887.2
NM_001282386.1	NP_001269315.1
NM_001282387.1	NP_001269316.1
XM_011510778.2	XP_011509080.1
XM_011510779.2	XP_011509081.1
XM_011510782.2	XP_011509084.1
XM_011510783.2	XP_011509085.1
XM_011510781.2	XP_011509083.1
XM_011510785.2	XP_011509087.1
XM_011510786.2	XP_011509088.1
XM_011510780.2	XP_011509082.1
XM_011510784.2	XP_011509086.1
XM_011510787.1	XP_011509089.1
NM_015040.3	NP_055855.2
XM_017003568.1	XP_016859057.1
XM_017003569.1	XP_016859058.1
XM_011510788.1	XP_011509090.1
XM_017003570.1	XP_016859059.1
XM_011510789.2	XP_011509091.1
XM_017003571.1	XP_016859060.1
XM_011510792.2	XP_011509094.1
NM_001178000.1	NP_001171471.1
NM_152671.3	NP_689884.1
XM_017003572.1	XP_016859061.1
XM_017003573.1	XP_016859062.1
XM_017003574.1	XP_016859063.1
XM_011510790.1	XP_011509092.1
NM_005048.3	NP_005039.1
NM_001309516.1	NP_001296445.1
XM_005246555.1	XP_005246612.1
XM_011511186.1	XP_011509488.1
XM_011511190.1	XP_011509492.1
XM_011511192.1	XP_011509494.1
XM_011511188.1	XP_011509490.1
XM_011511193.1	XP_011509495.1
XM_011511187.1	XP_011509489.1
XM_017004111.1	XP_016859600.1
XM_011511191.1	XP_011509493.1
XM_017004112.1	XP_016859601.1
XM_017004114.1	XP_016859603.1
XM_017004118.1	XP_016859607.1
NM_002374.3	NP_002365.3
XM_017004121.1	XP_016859610.1
XM_017004119.1	XP_016859608.1
XM_011511196.2	XP_011509498.1
XM_017004115.1	XP_016859604.1
XM_017004123.1	XP_016859612.1
XM_017004124.1	XP_016859613.1
XM_017004116.1	XP_016859605.1
XM_017004126.1	XP_016859615.1
XM_017004125.1	XP_016859614.1
XM_017004138.1	XP_016859627.1
XM_017004139.1	XP_016859628.1
NM_001039538.1	NP_001034627.1
NM_031847.2	NP_114035.2
XM_017004140.1	XP_016859629.1
NM_031845.2	NP_114033.2
XM_006712532.1	XP_006712595.1
XM_011511195.1	XP_011509497.1
XM_017004120.1	XP_016859609.1
XM_017004122.1	XP_016859611.1
XM_017004113.1	XP_016859602.1
XM_011511197.2	XP_011509499.1
XM_017004117.1	XP_016859606.1
XM_017004127.1	XP_016859616.1
XM_017004128.1	XP_016859617.1
XM_017004129.1	XP_016859618.1
XM_017004130.1	XP_016859619.1
XM_005246565.1	XP_005246622.1
XM_005246566.1	XP_005246623.1
XM_017004131.1	XP_016859620.1
XM_017004132.1	XP_016859621.1
XM_017004133.1	XP_016859622.1
XM_017004134.1	XP_016859623.1
XM_017004135.1	XP_016859624.1
XM_017004137.1	XP_016859626.1
XM_017004136.1	XP_016859625.1
XM_011511004.1	XP_011509306.1
XM_011511008.1	XP_011509310.1
XM_017003886.1	XP_016859375.1
XM_011511005.1	XP_011509307.1
XM_017003887.1	XP_016859376.1
XM_011511007.1	XP_011509309.1
NM_032504.1	NP_115893.1
XM_011511006.1	XP_011509308.1
XM_017003885.1	XP_016859374.1
XM_005246476.1	XP_005246533.1
XM_017003888.1	XP_016859377.1
XM_017003889.1	XP_016859378.1
XM_017003884.1	XP_016859373.1
NM_182587.3	NP_872393.3
XM_017003890.1	XP_016859379.1
XM_011511010.2	XP_011509312.1
XM_017003893.1	XP_016859382.1
XM_011511012.1	XP_011509314.1
XM_017003891.1	XP_016859380.1
XM_017003892.1	XP_016859381.1
XM_017003894.1	XP_016859383.1
NM_001318926.1	NP_001305855.1
NM_001318928.1	NP_001305857.1
NM_199229.2	NP_954699.1
NM_001278285.1	NP_001265214.1
NM_001318927.1	NP_001305856.1
NM_001318929.1	NP_001305858.1
NM_001278289.1	NP_001265218.1
NM_006916.2	NP_008847.1
NM_001278282.1	NP_001265211.1
NM_001278283.1	NP_001265212.1
NM_001278286.1	NP_001265215.1
NM_001278288.1	NP_001265217.1
XM_006712677.3	XP_006712740.1
NM_001318931.1	NP_001305860.1
NM_001318930.1	NP_001305859.1
XM_005246332.4	XP_005246389.1
XM_005246328.4	XP_005246385.1
NM_001307976.1	NP_001294905.1
XM_017003430.1	XP_016858919.1
NM_152519.3	NP_689732.2
XM_005246329.4	XP_005246386.1
XM_005246330.4	XP_005246387.1
XM_011510706.2	XP_011509008.1
XM_011510707.2	XP_011509009.1
XM_011510710.2	XP_011509012.1
XM_017003431.1	XP_016858920.1
XM_011510709.2	XP_011509011.1
XM_005246334.4	XP_005246391.1
XM_006712320.3	XP_006712383.1
NM_001608.3	NP_001599.1
XM_005246517.4	XP_005246574.1
XM_017003955.1	XP_016859444.1
NM_079420.2	NP_524144.1
NM_079422.2	NP_524146.1
XM_005246243.2	XP_005246300.1
NM_001136574.1	NP_001130046.1
NM_001136575.1	NP_001130047.1
NM_006055.2	NP_006046.1
NM_001122633.2	NP_001116105.1
XM_011510640.1	XP_011508942.1
NM_001875.4	NP_001866.2
XM_011510641.2	XP_011508943.1
XM_011510642.2	XP_011508944.1
XM_011510643.2	XP_011508945.1
XM_011510644.2	XP_011508946.1
NM_001122634.3	NP_001116106.1
NM_001042599.1	NP_001036064.1
NM_005235.2	NP_005226.1
XM_005246377.2	XP_005246434.1
XM_005246376.2	XP_005246433.1
XM_006712364.2	XP_006712427.1
XM_017003581.1	XP_016859070.1
XM_017003578.1	XP_016859067.1
XM_017003580.1	XP_016859069.1
XM_017003579.1	XP_016859068.1
XM_017003577.1	XP_016859066.1
XM_017003582.1	XP_016859071.1
XM_011510819.2	XP_011509121.1
XM_005246386.4	XP_005246443.1
XM_017003592.1	XP_016859081.1
XM_011510815.2	XP_011509117.1
XM_011510817.2	XP_011509119.1
XM_011510802.2	XP_011509104.1
XM_011510803.2	XP_011509105.1
XM_011510804.2	XP_011509106.1
XM_011510805.2	XP_011509107.1
XM_017003589.1	XP_016859078.1
XM_017003590.1	XP_016859079.1
NM_001079526.1	NP_001072994.1
NM_016260.2	NP_057344.2
XM_005246384.4	XP_005246441.1
XM_005246385.3	XP_005246442.1
XM_011510814.2	XP_011509116.1
XM_011510807.2	XP_011509109.1
XM_011510808.2	XP_011509110.1
XM_011510809.2	XP_011509111.1
XM_011510810.2	XP_011509112.1
XM_011510811.2	XP_011509113.1
XM_011510812.2	XP_011509114.1
XM_011510816.2	XP_011509118.1
XM_017003591.1	XP_016859080.1
XM_011510818.2	XP_011509120.1
NM_001242575.1	NP_001229504.1
NM_024532.4	NP_078808.3
XM_011511820.1	XP_011510122.1
XM_011511815.1	XP_011510117.1
XM_011511817.1	XP_011510119.1
XM_011511816.2	XP_011510118.1
XM_011511818.1	XP_011510120.1
XM_011511824.1	XP_011510126.1
XM_011511831.1	XP_011510133.1
XM_011511832.1	XP_011510134.1
XM_011511828.1	XP_011510130.1
XM_011511829.1	XP_011510131.1
XM_011511827.1	XP_011510129.1
XM_011511837.2	XP_011510139.1
XM_006712746.2	XP_006712809.1
XM_017004899.1	XP_016860388.1
NM_001025436.2	NP_001020607.1
XM_011511814.1	XP_011510116.1
XM_011511821.2	XP_011510123.1
XM_011511819.2	XP_011510121.1
XM_011511822.1	XP_011510124.1
XM_011511823.2	XP_011510125.1
XM_017004896.1	XP_016860385.1
XM_017004897.1	XP_016860386.1
XM_017004898.1	XP_016860387.1
XM_017004900.1	XP_016860389.1
XM_017004902.1	XP_016860391.1
XM_011511835.2	XP_011510137.1
XM_017004901.1	XP_016860390.1
NM_001080500.2	NP_001073969.1
NM_001282548.1	NP_001269477.1
NM_001282543.1	NP_001269472.1
NM_001282545.1	NP_001269474.1
NM_001282549.1	NP_001269478.1
NM_000465.3	NP_000456.2
XM_017004613.1	XP_016860102.1
XM_017004614.1	XP_016860103.1
NM_173076.2	NP_775099.2
XM_011510951.2	XP_011509253.1
NM_015657.3	NP_056472.2
XM_017004187.1	XP_016859676.1
NM_004044.6	NP_004035.2
NM_212474.2	NP_997639.1
NM_001306132.1	NP_001293061.1
XM_005246412.1	XP_005246469.1
NM_001306131.1	NP_001293060.1
NM_212476.2	NP_997641.1
XM_005246414.1	XP_005246471.1
NM_212478.2	NP_997643.1
XM_005246409.1	XP_005246466.1
NM_002026.3	NP_002017.1
XM_005246406.1	XP_005246463.1
NM_001306130.1	NP_001293059.1
XM_017003694.1	XP_016859183.1
XM_017003693.1	XP_016859182.1
XM_005246405.1	XP_005246462.1
XM_017003692.1	XP_016859181.1
XM_005246402.1	XP_005246459.1
NM_001306129.1	NP_001293058.1
NM_212482.2	NP_997647.1
XM_005246416.1	XP_005246473.1
XM_017003695.1	XP_016859184.1
XM_005246404.1	XP_005246461.1
XM_005246411.1	XP_005246468.1
XM_005246410.1	XP_005246467.1
XM_005246408.1	XP_005246465.1
XM_005246403.1	XP_005246460.1
XM_005246407.1	XP_005246464.1
XM_005246401.1	XP_005246458.1
XM_005246398.1	XP_005246455.1
XM_005246399.1	XP_005246456.1
XM_005246397.1	XP_005246454.1
NM_054034.2	NP_473375.2
NM_018000.2	NP_060470.2
XM_011511468.2	XP_011509770.1
XM_017004475.1	XP_016859964.1
NM_018441.5	NP_060911.2
XM_011511478.2	XP_011509780.1
NM_138390.3	NP_612399.1
NM_001142310.1	NP_001135782.1
NM_001142311.1	NP_001135783.1
NM_001142312.1	NP_001135784.1
XM_006712851.1	XP_006712914.1
XM_011512173.2	XP_011510475.1
NM_021141.3	NP_066964.1
NM_020814.2	NP_065865.1
NM_001127207.1	NP_001120679.1
NM_014140.3	NP_054859.2
XM_005246631.2	XP_005246688.1
XM_005246632.1	XP_005246689.1
XM_017004228.1	XP_016859717.1
NM_000998.4	NP_000989.1
NM_000597.2	NP_000588.2
NM_001313990.1	NP_001300919.1
NM_001313993.1	NP_001300922.1
NM_001313992.1	NP_001300921.1
NM_000599.3	NP_000590.1
NM_003284.3	NP_003275.1
XM_011511723.2	XP_011510025.1
NM_001308023.1	NP_001294952.1
XM_017004808.1	XP_016860297.1
NM_001308022.1	NP_001294951.1
NM_022648.5	NP_072174.3
XM_017004811.1	XP_016860300.1
XM_017004812.1	XP_016860301.1
XM_017004805.1	XP_016860294.1
XM_017004802.1	XP_016860291.1
XM_017004807.1	XP_016860296.1
XM_017004806.1	XP_016860295.1
XM_017004803.1	XP_016860292.1
XM_011511715.1	XP_011510017.1
XM_011511712.1	XP_011510014.1
XM_011511713.1	XP_011510015.1
XM_017004804.1	XP_016860293.1
XM_017004801.1	XP_016860290.1
XM_017004809.1	XP_016860298.1
XM_017004810.1	XP_016860299.1
XM_017004813.1	XP_016860302.1
XM_017004814.1	XP_016860303.1
XM_017004815.1	XP_016860304.1
XM_011511728.1	XP_011510030.1
XM_017004817.1	XP_016860306.1
XM_017004816.1	XP_016860305.1
XM_017003895.1	XP_016859384.1
